York Dispatch for iPhone,508557979,,
York Dispatch for iPad,575936832,,
YDR for iPhone,503015893,,
YDR for iPad,530600379,,
Whittier Daily News for the iPad,563971431,,
Whittier Daily News for iPhone,503668140,,
West County Times for iPhone,479940265,,
West County Times for iPad,575930984,,
Vallejo Times Herald for iPhone,508566566,,
Vallejo Times Herald for iPad,508801494,,
Vallejo Times Herald iPhone,419623006,,
Vacaville Reporter for iPhone,499680399,,
Ukiah Daily Journal for iPhone,503016816,,
Tri-Valley Times for iPhone,479952204,,
Tri-Valley Times for iPad,571766794,,
Tri-Valley Times iPhone,489924506,,
Torrance Daily Breeze for the iPad,551753330,,
Torrance Daily Breeze for iPhone,503015160,,
The Vacaville Reporter for iPad,509333965,,
The Trentonian for iPhone,503293221,,
The Trentonian for iPad,563339138,,
The Saratogian for iPad,551770229,,
The Vacaville Reporter for iPhone,427831853,,
The Oakland Press for iPhone,520210301,,
The Oakland Press for iPad,551761416,,
The News Herald for iPhone,520206415,,
The News Herald for iPad,563963169,,
The Morning Sun for iPhone,520224707,,
The Morning Sun for iPad,571770361,,
The Morning Journal for iPhone,520205939,,
The Morning Journal for iPad,563961385,,
The Monterey County Herald iPhone,469262527,,
The Pottstown Mercury for iPhone,525118208,,
The Pottstown Mercury for iPad (JRC),563333553,,
The San Bernardino Sun for iPhone,503662617,,
The San Bernardino Sun for iPad,563372734,,
St. Paul Pioneer Press for iPhone,603264610,,
St. Paul Pioneer Press for iPad,603258863,,
Silicon Valley for iPhone,502964313,,
Silicon Valley for iPad,566312120,,
Sentinel & Enterprise for iPhone,507306870,,
Sentinel & Enterprise for iPad,507308864,,
Saratogian for iPhone,520229775,,
Santa Cruz Sentinel iPad,461523626,,
Santa Cruz Sentinel for iPhone,499677382,,
Santa Cruz Sentinel for iPad,563358177,,
San Ramon Valley Times for iPhone,479944788,,
San Ramon Valley Times for iPad,571762313,,
San Mateo County for iPhone,479953443,,
San Mateo County for iPad,571754261,,
San Mateo County iPhone,489285369,,
San Jose Mercury News for iPhone,479955259,,
San Jose Mercury News for iPad,551437906,,
San Gabriel Valley for iPhone,503025528,,
San Gabriel Valley for iPad,551759403,,
Register Citizen for iPhone,520205555,,
Register Citizen for iPad,569943687,,
Redland Daily Facts for iPhone,502960941,,
Redland Daily Facts for iPad,575932950,,
Pasadena Star for iPhone,503656700,,
Pasadena Star for iPad,563965297,,
Oneida Daily Dispatch for iPhone,520233872,,
Oneida Daily Dispatch for iPad,571779358,,
Oakland Tribune for iPhone,479918399,,
Oakland Tribune for iPad,566313823,,
New Haven Register for iPad,568468308,,
New Haven Register for iPhone,520203861,,
Monterey County Herald for iPhone,507305181,,
Monterey County Herald for iPad,507308258,,
Middletown Press for iPhone,520204340,,
Middletown Press for iPad,569948531,,
Marin Independent for iPhone,499674553,,
Marin Independent for iPad,563368892,,
Macomb Daily for iPhone,520209090,,
Macomb Daily for iPad,551763849,,
Lowell Sun for iPhone,502959997,,
Lowell Sun for iPad,509274514,,
LA Daily for the iPad,551745144,,
LA Daily for iPhone,502957174,,
Long Beach Press-Telegram for iPhone,502958939,,
Long Beach Press-Telegram for the iPad,551754518,,
Lebanon Daily for iPhone,508547145,,
Lebanon Daily for iPad,551781341,,
LA.com for iPhone,504539677,,
LA.com for iPad,566309278,,
Inland Valley Daily Bulletin for iPhone,503648014,,
Inland Valley Daily Bulletin for iPad,551776550,,
Hayward Daily Review for iPhone,479923430,,
Hayward Daily Review for iPad,566316495,,
Hanover Evening Sun for iPhone,508556167,,
Hanover Evening Sun for iPad,569952442,,
GametimePA York for iPhone,515403247,,
GametimePA Lebanon for iPhone,515404534,,
Gametime PA Franklin for iPhone,515411791,,
Fremont Argus for iPhone,479915457,,
Fremont Argus for iPad,571749242,,
Eureka Times Standard for iPad,551779828,,
Eureka Times Standard for iPhone,499669816,,
East County Times for iPhone,479925066,,
East County Times for iPad,575918625,,
Delaware County for iPhone,508962453,,
Delaware County for iPad,563336340,,
Daily Tribune for iPhone,520219522,,
Daily Tribune for iPad,571776405,,
Daily Local for iPhone,525116294,,
Daily Local for iPad,563329788,,
Daily Freeman for iPhone,520227762,,
Daily Freeman for iPad,551766152,,
Daily Democrat for iPhone,507295340,,
Daily Democrat for iPad,507307682,,
Contra Costa Times iPhone,429780888,,
Contra Costa Times for iPhone,479676946,,
Contra Costa Times for iPad,551749031,,
Chico ER for iPhone,499663248,,
Chico ER for iPad,509310750,,
Chambersburg PO for iPhone,508554257,,
Chambersburg PO for iPad,530581442,,
Berkshire Eagle for iPhone,502952380,,
Bay Area News for the iPad,544378845,,
Bay Area News iPhone,407305856,,
